Slang,Example,Informal_Text_Without_Slang
snag,"I'm_heading to the store to snag some snacks, fr fr.",I'm going to the grocery store to buy some snacks.
vibing,"Just vibing with my squad at the park, no cap.",I'm just casually hanging out with my friends at the park.
drained,"I'm mad drained today, lowkey need a nap ASAP.","I'm really tired today, I think I need some sleep."
hyped,I'm so hyped for the bash tonight!,I'm really excited about the party tonight!
chill,"Yo, wanna chill today? 💥","Hey, do you want to hang out today?"
fire,"Yo, just hit the store and snagged some fire snacks! 😎","Hey, I just got back from the store and I found some awesome snacks!"
finna,I'm just finna chill at my place and binge some shows tonight.,I'm just going to relax at home and watch some shows tonight.
vibing,"Just wrapped up my homework, and I’m vibing with how it turned out.",I just finished my homework and I'm feeling pretty good about it.
vibing,"I'm just vibing at home today, binge-watching some flicks.",I'm just going to chill at home today and watch some movies.
"drained, fr","I'm totally drained after a long day at school, fr fr.",I'm just tired after a long day at school.
"lowkey, vibing",I'm lowkey exhausted today and vibing in chill mode.,I'm just really tired today and feeling lazy.
"drained, fr","I'm totally drained and not vibing with going out tonight, fr.",I'm just really tired and don't feel like going out tonight.
spot,"Yo, can you spot me on my homework later?","Hey, can you help me with my homework later?"
tired,Just slid back home from school and I'm dead exhausted.,I just got home from school and I'm really tired.
vibing,I'm just vibing with my friends after class.,I'm just casually hanging out with my friends after school.
y'all,"Yo, did y'all catch the new flick last night?","Hey, did you watch the new movie last night?"
peep,"Yo, peep that new flick last night?","Hey, did you watch that new movie last night?"
"chillin, no cap","Chillin' at my place, bingeing my fave series, no cap.",I'm just relaxing at home and binge-watching my favorite series.
wiped,"I'm super wiped today, so I’m just chillin' at home.","I'm really tired today, so I think I’ll just relax at home."
beat,"I'm lowkey beat after grinding all day, fr.",I'm really tired today after working all day.
"tired, lowkey",I'm mad tired today 'cause I lowkey stayed up all night.,I'm just really tired today because I stayed up late last night.
whipped,"Yo, I just wrapped my homework and I’m hella whipped.","Hey, I just finished my homework and I’m so tired."
vibing,I'm just vibing at home and scrolling my feed.,I'm just chilling at home and scrolling through my phone.
chill,I'm totally🥱 today and just wanna chill at home.,I'm just really tired today and want to relax at home.
hyped,I'm super hyped to kick it with my squad this weekend!,I'm really excited to see my friends this weekend.
vibe,"Yo, you tryna vibe this weekend?","Hey, do you wanna hang out this weekend?"
snag,"I'm just gonna snag some snacks and chill at home tonight, fr.",I'm just going to grab some food and relax at home tonight.
wiped,"I'm hella wiped from today, so I'm just gonna chill at home.","I'm really tired after the long day, so I think I'll just relax at home."
lowkey,"I'm lowkey tryna hit the park later to chill, fr.",I'm thinking about going to the park later to relax.
"drained, wanna",I'm totally drained today and just wanna chill.,I'm just really tired today and want to relax.
chillin,"Yo, just chillin' with my crew at the park today, no cap.",I'm just hanging out with friends at the park today.
slide,"Yo, wanna slide out for some coffee after class?","Hey, do you want to grab a coffee after school?"
finna,"I'm just finna take a stroll in the park to clear my mind, fr fr.",I'm just going to go for a walk in the park to clear my head.
veg,"I'm just gonna veg out at home all day today, no cap.",I'm just going to chill at home all day today.
"drained, nada","I'm so drained today, I’m just vibing to chill and do nada.",I'm just really tired today and I don't want to do anything.
pumped,I'm super pumped for the new flick tonight!,I'm really excited for the new movie tonight.
finna,"I'm finna vibing with my squad later, no cap.",I'm just going to chill with my friends this afternoon.
"copped, deadass","Yo, just copped my homework and I'm deadass drained.","Hey, I just finished my homework and I am so tired."
"drained, grinding","I'm super drained today after grinding all morning, fr fr.",I'm just really tired today after working all morning.
vibing,"Chillin' and vibing with some movies tonight, no cap.",I'm just going to relax and watch some movies tonight.
vibing,"I'm just vibing through the park to clear my head, no cap.",I'm just taking a walk in the park to clear my mind.
"hyped, lit","I'm sooo hyped for my trip to the beach, it's gonna be lit!",I'm really excited about my upcoming trip to the beach.
"dead, mood","I'm kinda dead today and mood's kinda off, fr.",I'm just really tired today and feeling a bit down.
hyped,I'm super hyped to chill with my squad tonight.,I'm really excited to see my friends tonight.
"vibing, Netflix-ing","I'm just vibing at home and Netflix-ing, fr fr.",I'm just chilling at home and watching some Netflix.
vibing,"I'm just vibing at home after a long day, no cap.",I'm just chillin' at home after a long day.
dropped,"Yo, did y'all peep the new music app that dropped?","Hey, did you hear about the new music app that just came out?"
peep,"Yo, can you peep my homework later?",Can you help me with my homework later?
wanna,"Yo, wanna hit up Starbucks today?","Hey, do you want to grab a coffee today?"
chillin',"Just vibin' at home, Netflix and chillin'.","I'm just chillin' at home, watching some TV."
vibe,"Yo, wanna vibe at the park later?","Hey, do you want to hang out at the park this afternoon?"
wanna,"Yo, wanna catch some lunch later?","Hey, want to grab lunch together later?"
"exhausted, binged",I'm totally exhausted today ’cause I binge-watched all night. ,I'm really tired today because I stayed up late watching shows.
"wiped, vibe","I'm so wiped today, just tryna chill and vibe.",I'm really tired today and I just want to relax.
dash,I'm just dashing to the store to grab some snacks and stuff.,I'm just heading to the grocery store to pick up some stuff.
"drained, chillin', vibing","I'm super drained today, so I'm just chillin' at home and vibing out.","I'm feeling really tired today, so I think I'll stay home and relax."
"drained, chill, vibe","I'm super drained today, so I’m just gonna chill at home and vibing.","I'm feeling really tired today, so I might just stay in and relax."
"wiped, Z's",I'm totally wiped today ’cause I didn’t catch enough Z’s last night.,I'm really tired today because I didn’t get much sleep last night.
fucc,"Yo, wanna snag some pizza tonight? Let's fucc it up!","Hey, do you want to grab pizza tonight?"
vibing,"I’m just vibing at home, scrolling through vids.",I’m just chilling at home and watching some videos.
dead (tired),I'm dead tired 'cause I pulled an all-nighter last night.,I'm so tired because I stayed up late last night.
"drained, Z's",I'm hella drained today 'cause I didn’t catch enough Z’s.,I'm just tired today because I didn't get enough sleep.
finna,"Yo, I’m finna copped some coffee after shift, fr.","Hey, I think I'm going to grab some coffee after work."
"finna, grub",I'm finna snag some grub before I dip out.,I'm going to grab some food before I head out.
lit,"Yo, I peeped a lit flick last night!","Hey, I just saw a really cool movie last night."
"exhausted, chill",I'm mad exhausted today and just wanna chill at home LOL.,I'm really tired today and just want to stay home and relax.
hella,"I'm hella worn out today and just wanna chill after work, fr.",I'm really tired today and just want to relax after work.
drained,"I'm super drained today, barely slept a wink last night.","I'm really tired today, I didn't sleep well last night."
"vibing, homie, grub",Just vibing till my homie pulls up so we can hit up some grub.,I'm just waiting for my friend to arrive so we can go get some food.
"chilling, vibing, fr","Chilling and vibing with some vids on YouTube tonight, fr.",I'm just going to relax and watch some YouTube videos tonight.
vibing,"I'm vibing at the mall later with my squad, no cap.",I'm going to the mall later to hang out with my friends.
"tired, vibe",I'm mad tired today and not vibing to hang out.,I'm just really tired today and don't feel like hanging out.
vibing,"I'm just vibing at home, binge-watching some stuff.",I'm just chilling at home watching some shows.
lowkey,"Yo, did you peep that new flick everyone’s lowkey vibing with?","Hey, did you see the new movie that everyone is talking about?"
finna,"I'm finna get some coffee with my homie later, fr.",I'm going to grab some coffee later with a friend.
vibe,"Yo, just wrapped up my homework and vibe check is high 🆒!","Hey, I just finished my homework and I'm feeling pretty good about it."
tryna,"Yo, you tryna chill after class today?","Hey, do you want to hang out after school today?"
snag,"Yo, wanna snag a coffee after class?","Hey, do you want to grab a coffee after class?"
finna,I’m just finna snag some coffee before I dip into work.,I'm just going to grab some coffee before I start working.
vibing,"Yo, did you peep that new flick everyone's vibing with?","Hey, did you see that new movie everyone was talking about?"
"wiped, chilling, vibing","I'm totally wiped today, so I’m gonna chill at home and vibing.","I'm really tired today, so I think I’ll just stay in and relax."
"drained, veg out","I'm super drained today, just wanna kick back and veg out.","I'm really tired today, I just want to relax and chill out."
"chillin', vibin'","Just knocked out my homework, now I'm chillin' and vibin'.",I just finished my homework and I'm ready to relax.
down,"Yo, down to get some coffee later?","Hey, want to grab some coffee later?"
drained,"Yo, just hit the store and I'm totally drained rn.","Hey, I just got back from the store and I'm really tired."
deadass,I'm deadass exhausted after grinding all day.,I'm so tired after studying all day.
what,"Yo, you free this weekend or what?","Hey, are you busy this weekend?"
chillin,"I'm chillin' with my crew tomorrow, no cap.",I'm going to hang out with my friends tomorrow.
vibing,"I'm vibing with the idea of catching some coffee after work, fr.",I'm thinking about grabbing some coffee after work.
"chillax, hot sec","Yo, just knocked out my homework and about to chillax for a hot sec.","Hey, I just finished my homework and I'm about to relax for a bit."
"hella, fr","I'm hella drained 'cause I stayed up all night, fr fr.",I'm really tired after staying up late last night.
hyped,I'm so hyped to link up with my squad later!,I'm really excited to meet up with my friends later.
"chillin, drained, kickback",I'm mad chillin' today 'cause I'm hella drained and just wanna kick back.,I'm just really tired today and need to relax.
"vibing, chillin'","I'm just vibing at home, Netflix and chillin’.","I'm just chilling at home, watching some TV."
ghosting,"I'm totally ghostin' the party tonight, fr fr.",I think I'm going to skip the party tonight.
chill,"I'm just chilling at home all day today, no cap.",I'm just going to relax at home all day today.
vibing,I'm just vibing with my crew at the park.,I'm just chilling with my friends at the park.
fire,"Yo, the concert last night was straight fire!",I can't believe how fun the concert was last night!
wiped,"I'm totally wiped today, so I'm just gonna chill at home.","I'm really tired today, so I'm just going to relax at home."
poppin,"Yo, was just poppin' about linking up later if you're down.","Hey, I was just thinking about meeting up later if you're free."
z's,I'm just tryna catch some Z's before my test tomorrow.,I'm just trying to get some sleep before my exam tomorrow.
"dipping, java, vibing",I'm just dippin' for some java and then vibing with a walk.,I'm just going to grab some coffee and then go for a walk.
finna,"I'm finna sip some coffee with my squad later, you feel me?",I'm going to grab a coffee with my friends this afternoon.
hyped,I'm super hyped for the concert tomorrow!,I'm really excited about the concert tomorrow.
finna,"Yo, I'm finna hit up some coffee before my shift, fr.","Hey, I'm just going to grab some coffee before work."
"fire, sick","Yo, your new phone is fire, so sick!","Hey, I really like your new phone, it's awesome!"
hyped,"Yo, I’m sooo hyped for the weekend vibes!",I'm really excited for the weekend plans.
vibing,"I'm just vibing through today, no cap, no stress.",I'm just trying to get through today without any problems.
slide,"Yo, you tryna slide and grab some food today?","Hey, do you want to grab lunch today?"
vibing,"I'm mad vibing with exhaustion today, no cap.",I'm feeling pretty tired today.
"dip, vibe","Yo, wanna dip and vibe with me later?","Hey, do you want to hang out with me later?"
peep,"Yo, did you peep the new flick tonight?","Hey, did you see the new movie tonight?"
hyped,I'm mega hyped for the weekend with my squad!,I'm so excited for the weekend with my friends.
grind,Gonna snag a coffee real quick before hitting the grind.,I'm just going to grab a coffee before heading to work.
"chillin', binge-watching",I'm just chillin' at home and binge-watching some fresh new series.,I'm just casually relaxing at home and binge-watching a new show.
"chillin, vibin, fr","I'm just chillin' and vibin' with some vids later, fr.",I'm just going to relax and watch some videos later.
fr,"Yo, just wrapped up my last class for the day, fr fr!","Hey, I just finished my last class for the day."
drained,I'm lowkey drained today.,I'm just really tired today.
exhausted,I'm low-key exhausted cuz I didn't catch enough Z’s last night.,I'm pretty tired today because I didn't sleep well last night.
"finna, squad",I'm finna snag some coffee and then link up with my squad at the park.,I'm going to grab some coffee and then meet my friends at the park.
"chillin, bingin","Chillin' at my place, bingin’ some stuff on Netflix, you feel me?","I'm just relaxing at home, watching some shows."
finna,I'm finna snag some coffee before hitting the mall.,I'm going to grab some coffee before heading to the mall.
vibing,I'm just vibing solo at home today.,I'm just chilling at home today.
"hella, all arvo",I'm hella exhausted today and just wanna crash all arvo.,I'm really tired today and just want to nap all afternoon.
drained,"I'm straight-up drained after a wild day, no cap.",I'm just really tired after a busy day.
grub,"Yo, wanna hit up some grub after class?","Hey, do you want to grab some food after school?"
finna,I'm finna hit up my homie for a coffee sesh tomorrow.,I'm going to grab a coffee with my friend tomorrow.
vibing,"I'm just vibing at home all weekend, no cap.",I'm planning to just chill at home this weekend.
"drained, grinding","I'm hella drained after grinding all day, fr.",I'm really tired after such a long day at work.
"tired, gotta","I'm dead tired today, but I still gotta grind on my homework.","I'm really tired today, but I still need to finish my homework."
finna,"I'm just finna sip some java with my squad later, no cap.",I'm just going to grab some coffee with my friends later.
"vibing, rays",I'm just vibing at the park and catching the rays.,I'm just chilling at the park and enjoying the sun.
fire,"Yo, those kicks are fire, no cap!","Hey, I really like your new shoes!"
pup,"Yo, just peeped the cutest pupper on my walk, fr.","Hey, I just saw a really cute dog on my walk."
snag,"Yo, wanna snag some pizza later?","Hey, do you want to grab some pizza later?"
dead (slang for exhausted or impressed),I'm dead after hittin' that session today.,I'm really tired after today's workout.
"drained, gonna","I'm super drained today, so I’m prolly gonna dip on the party.","I'm just really tired today, so I'm probably not going to go to the party."
copped,Just copped a fresh hoodie and it's mad comfy.,I just bought a new hoodie and it's super comfortable.
chill,I'm just gonna chill with my crew in the city tonight.,I'm just going to hang out with my friends downtown tonight.
linkup,"Yo, you tryna link up later to vibe?","Hey, do you want to meet up later to hang out?"
no cap,"I'm just gonna hang at my place this weekend, no cap.",I'm just going to chill at home during the weekend.
dead,I'm *dead* tired and just wanna chill at my place after a whole day.,I'm really tired and just want to relax at home after a long day.
"chillin, vibing",I'm just chillin' and vibing with some shows after a hectic day.,I'm just relaxing and watching some TV after a busy day.
"chillin', binge-watching",I'm just chillin' and binge-watching after a mad busy day.,I'm just trying to relax and watch some TV after a busy day.
hella,I'm hella exhausted today and just wanna chill at home.,I'm feeling really tired today and just want to stay home.
slide,"Yo, wanna slide to the park today?","Hey, do you want to hang out at the park today?"
"drained, vibe","Yo, I’m hella drained today, gonna just chill at home and vibe.","Hey, I’m really tired today, I think I’ll just stay home and relax."
drained,"Yo, I just wrapped up my homework and I'm totally drained now.","Hey, I just finished my homework and I'm pretty tired now."
"chillin, vibin",I'm just chillin' and vibin' with some tunes.,I'm just here relaxing and listening to some music.
vibing,"Yo, I'm just vibing at home and streaming some flicks.","Hey, I'm just chilling at home and watching some movies."
vibing,"Just vibing at home with some chill tunes, no cap.",I'm just relaxing and listening to some music at home.
wiped,"Bruh, I'm mad wiped after a whole day grind.",I can't believe how tired I am after a long day at work.
drained,I'm totally drained today after pulling an all-nighter.,I'm feeling really tired today after staying up all night.
sleepy,I'm mad sleepy today ’cause I pulled an all-nighter last night.,I'm just a little tired today because I stayed up late last night.
"chillin, vibing",I'm just chillin' and vibing with some tunes today.,I'm just relaxing and listening to some music today.
"drained, chill, binge","I'm super drained today, just tryna chill and binge some shows.","I'm really tired today, so I just want to relax and watch some TV."
"drained, chill, streams","I'm hella drained today, just tryna chill and scroll some streams.","I'm really tired today, I just want to relax and watch some TV."
"dropped, fire","Yo, have you peeped the new track that just dropped? It's fire!","Hey, did you see the new song that just dropped?"
dashed,"Yo, I just dashed through my homework and I’m totally drained rn.","Hey, I just finished my homework and I'm really tired now."
vibe,"That movie last night was a vibe, fr fr.",I really enjoyed that movie last night.
tryna,"I'm just tryna chill out after a long day, fr.",I'm just trying to relax after a long day.
peeped,"Yo, I peeped your fresh cut yesterday!","Hey, I saw your new haircut yesterday!"
"drained, chill, fr","I'm totally drained today and just wanna chill at home, fr.",I'm just really tired today and all I want to do is relax at home.
"drained, vibe","I'm so drained today, might just vibe solo and stay in.","I'm really tired today, so I think I'm just going to chill at home."
fr,"Yo, I spotted her at the mall yesterday, fr fr.","Hey, I saw her at the mall yesterday."
vibing,"Yo, are we still vibing later?","Hey, are we still meeting up later?"
"finna, munch",I'm just finna get some munch before peacing to class.,I'm just going to grab some food before heading to class.
drained,"I'm totally drained today, so I'm just gonna chill at home and nap.","I'm just really tired today, so I think I'll stay home and rest."
squad,I'm super bored today and just wanna squad up with my friends.,I'm really bored today and just want to hang out with my friends.
hyped,"Yo, I'm mad hyped for the concert this weekend! 🔥","Hey, I'm really excited for the concert this weekend!"
"clicked, crew",Just peeped my homework done and about to click up with the crew.,I just finished my homework and I'm about to hang out with my friends.
lowkey,"I'm mad tired today, lowkey just gonna chill at home.","I'm feeling really tired today, I think I'll just stay at home."
"snag, slide","Gonna snag some grub then slide to class, fr fr.",I'm just going to grab some food and then head to class.
"chillin, fr","Just dipped back from chillin' with my crew at the park, fr fr.",I just got back from hanging out with my friends at the park.
finna,"I'm finna snag some coffee after shift, fr.",I'm going to grab some coffee after work.
chill,I'm just gonna chill with my squad before the flick drops.,I'm just going to hang out with my friends before the movie starts.
dead (tired),"Yo, I'm dead tired today 'cause I got no sleep lol.","Hey, I'm really tired today because I didn't sleep well."
swipe,"Yo, wanna swipe for some coffee later?","Hey, do you want to go out for coffee later?"
fire,"Yo, that new track is straight fire, no cap!","Hey, I was just thinking about how cool that new song is."
hit,"Yo, wanna hit up some coffee today?","Hey, do you want to grab some coffee today?"
vibing,"I'm just vibing at home, binge-watching some flicks.","I'm just chilling at home today, watching some movies."
chill,"Yo, saw your text and I'm down to chill later, fr!","Hey, I saw your message and I want to hang out later."
wiped,I'm straight-up wiped today 'cause I didn't catch enough z's.,I'm so tired today because I didn't get enough sleep.
finna,"I'm just finna catch some coffee before I grind on my project, no cap.",I'm just going to grab some coffee before I start working on my project.
vibing,"Yo, just peeped I left my keys vibing at home lol.","Hey, I just realized I forgot my keys at home."
drained,"Just hit the mall and I'm completely drained, fr.",I just got back from shopping and I'm really tired.
flick,"Yo, did you catch the new flick recently?","Hey, did you see the new movie lately?"
chill,"Yo, you free this weekend to chill?","Hey, are you free this weekend to hang out?"
vibin',"I'm just vibin' at home, takin' it easy after a hectic day.",I'm just chilling at home and relaxing after a busy day.
"finna, java (in this context, ""java"" is a common misspelling or shortening of ""coffee"", but in the given sentence it does not function as slang)",I'm just finna snag some java before I dip.,I'm just going to grab some coffee before I head out.
"drained, grindin'","I'm totally drained after grindin' all day, no cap.",I'm really tired after doing so much work today.
wiped,I'm totally wiped after vibing all day.,I'm really tired after walking all day.
vibin',"I was just vibin' with my crew at the cafe, fr fr.",I was just hanging out with my friends at the cafe.
stacked,"Yo, just hit the store and stacked up on snacks, fr fr!","Hey, I just got back from the store and grabbed some snacks."
"drained, vibe","Yo, I’m mad drained today and vibing with the chill mode.",I'm just really tired today and feeling a bit lazy.
gotta friends grub,"Gonna hit up my friends for some grub, fr fr.",I'm just about to grab dinner with my friends.
dip,"Yo, wanna dip and get some ice cream later?","Hey, do you want to go out and grab some ice cream later?"
nah,"Yo, did you peep your homework yet or nah?","Hey, did you finish your homework already?"
fire,"Yo, I peeped your new fit and it's totally fire! 🔥","Hey, I saw your new outfit and it looks really nice!"
drained (from all-nighter),I'm totally drained 'cause I pulled an all-nighter.,I'm just really tired today after staying up all night.
beat,I'm totally beat after acing that long day at school.,I'm feeling really tired after a long day at school.
stroll,"Yo, wanna hit up the park for a stroll?","Hey, do you want to go for a walk to the park?"
finna,I'm just finna chill with my squad tonight.,I'm just gonna hang out with my friends tonight.
knocked out,"Yo, I just knocked out my homework and I'm dead tired rn.","Hey, I just finished my homework and I'm super tired."
hyped,I'm super hyped to vibe with my crew later.,I'm really excited to meet my friends later.
"drained, chill, binge","I'm hella drained today, just tryna chill and binge some shows.","I'm really tired today, so I just want to rest and watch some TV."
"hella, lowkey","I'm hella exhausted today, lowkey need a coffee stat.",I'm just really tired today and feel like I need a coffee.
snag,"Just gonna snag some coffee and hit up the mall, no cap.",I'm just going to grab some coffee and then go shopping.
"chillin', vibin'","Yo, just wrapped my homework, now I’m chillin’ and vibin’.","Hey, I just finished my homework and I want to relax now."
"lowkey, Z's",I'm lowkey drained 'cause I didn’t catch enough Z's last night.,I'm just really tired because I didn't get enough sleep last night.
hyped,I'm so hyped to chill with my squad today.,I'm just excited to hang out with my friends today.
drained,"I'm super drained today, barely slept last night lol.","I'm really tired today, I didn't get much sleep last night."
"drained, vibing","I'm drained today, so I'm just vibing at home and chilling.","I'm really tired today, so I'm just going to stay home and relax."
vibing,I'm just vibing to the store to grab some snacks.,I'm just heading to the grocery store to pick up some food.
"drained, chill","Hey, I'm hella drained today and just wanna chill vibe.","Hey, I'm really tired today and just want to relax."
bruh,"Bruh, I'm so drained after this full-on day, no cap.",I can't believe how tired I am after a long day.
vibing,"I'm just vibing at home tonight, no cap.",I'm just going to stay home and relax tonight.
hyped,"I'm mega hyped to chill with my squad later, fr fr!",I'm really excited to hang out with my friends later.
vibing,Just vibing with the squad at the mall today.,I'm just hanging out with friends at the mall today.
about,"Yo, I'm about to snag some coffee. You in?","Hey, I'm going to grab some coffee. Want to join me?"
vibe,I'm just gonna vibe and binge some Netflix tonight.,I'm just going to chill and watch some Netflix tonight.
chill,I'm about to chill with the squad at the park later.,I'm going to hang out with my friends at the park this afternoon.
finna,"Yo, I'm just finna hit up some coffee before I slide to school.","Hey, I'm just going to grab some coffee before heading to school."
vibing,"Yo, I’m vibing with my squad after class, fr.","Hey, I really enjoy hanging out with my friends after school."
vibing,"Yo, just knocked out my homework, now I’m vibing chill.","Hey, I just finished my homework and I'm feeling relaxed now."
kicks,"Yo, just hit the store and scored some sick kicks!","Hey, I just got back from the store and I found some really cool sneakers."
"drained (from ""I'm totally drained"")","I'm totally drained after cramming all day, no cap.",I'm really tired after all that studying today.
vibing,"I'm just vibing at home, bingeing my fave show, no cap.",I'm just chilling at home and binge-watching my favorite show.
vibing,"I'm just vibing with some shows today, no cap.",I'm just catching up on some shows today.
tap,"Yo, wanna tap in for coffee later?","Hey, do you want to grab coffee with me later?"
"finna, grub",I'm just finna get some grub and kick back at home.,I'm just going to grab some food and relax at home.
crew,I'm linking up with my crew at the coffee shop later.,I'm going to meet my friends at the coffee shop later.
lowkey,"Just wrapped my homework, and I was lowkey tryna see if you're down to chill later.",I just finished my homework and I was wondering if you want to hang out later.
stoked,"I'm stoked I finally knocked out my homework, fr fr!",I'm really happy that I finally finished my homework.
nah,"Yo, did you ace your homework yesterday or nah?","Hey, did you finish your homework last night?"
drained,"Honestly, I’m sooo drained after a whole shift at work.",I'm just really tired from a long day at work.
fire,That flick was fire tonight!,That movie was really good tonight.
"drained, vibe","I'm hella drained today, so I'm just gonna vibe at my crib.","I'm really tired today, so I think I'll just chill at home."
about,"Yo, I'm about to snag some ☕ before hitting up class.","Hey, I'm going to grab some coffee before heading to class."
vibe,"Yo, let's vibe together after school tmrw!",Let's hang out after school tomorrow.
drained,"Yo, I'm super drained today, so I'm just gonna chill at home.","I'm actually really tired today, so I think I'll just relax at home."
"drained, chill, veg","I'm sooo drained today, just tryna chill at home and veg out.","I'm really tired today, so I think I just want to stay home and relax."
imma,"I'm dead tired today, so imma just chill at home.","I'm really tired today, so I think I'll just rest at home."
vibing,"I'm just vibing with my crew at the mall, no cap.",I'm just casually hanging out with my friends at the mall.
lit,Had a lit time chillin' with my crew at the park today.,I really enjoyed hanging out with my friends at the park today.
pumped,I'm hella pumped for the new flick tonight.,I'm really excited about the new movie tonight.
"deadass, zero",I'm deadass exhausted today and had zero chill for going out.,I'm just really tired today and didn't feel like going out.
tired (slang for extremely weary),I'm mad tired today ’cause I pulled an all-nighter studying.,I'm really tired today after studying all night.
vibe,"Yo, wanna vibe and get some coffee later?","Hey, do you want to grab some coffee together later?"
hectic,"Fr, the city is posted today, so hectic!",I can't believe how busy the city is today.
"worn out, stressed, fr","I'm totally worn out today and vibing with some major stress, fr.",I'm just really tired today and feeling a bit stressed out.
fire,"Yo, that flick was straight fire!","Hey, that movie was really good!"
"chillin', flicks",I'm just chillin' and binge-watching some flicks tonight.,I'm just trying to relax and watch some movies tonight.
vibing,I'm kind of vibing with that sleepy energy today.,I'm just feeling a bit tired today.
hyped,I'm super hyped for the weekend squad hangout!,I'm really excited about the weekend plans with my friends.
vibing,"Yo, I’m just out here vibing on a walk to free my brain, no cap.",I'm just going for a walk to clear my mind.
hit,"Yo, wanna hit up lunch after classes?","Hey, do you want to grab lunch after school?"
peepin',"Yo, ya peepin' the party tonight or what?","Hey, are you coming to the party later?"
finna,I'm finna hit up the cafeteria for some chow.,I'm going to grab some food from the cafeteria.
fire,"Yo, that new game is straight fire, no cap.","Hey, I was just thinking about how cool the new game is."
"drained, hella",I'm hella drained today 'cause I binge-watched a Netflix series all night.,I'm feeling really tired today because I stayed up late watching a Netflix series.
vibing,I'm just vibing with a snack before diving into my homework mix.,I'm just going to grab a snack before I start my homework.
hyped,I'm mega hyped to hit up that new cafe downtown tomorrow!,I'm really excited to go to the new cafe downtown tomorrow.
arvo,"Yo, you got time to chill tomorrow arvo?","Hey, are you free to hang out tomorrow afternoon?"
fire,"Yo, that show was straight fire yesterday!","Wow, that concert was really fun yesterday!"
"wiped, cram","I'm completely wiped after all that cram, fr.",I'm really tired after all that studying.
"hitting, crew",I'm hitin' up the mall to chill with my crew later.,I'm going to the mall to hang out with my friends this afternoon.
vibing,I'm just vibing on my phone while waiting for my homie.,I'm just browsing my phone while waiting for my friend.
finna,"I'm just finna kick back at home and binge some Netflix tonight, no cap.",I'm just going to chill at home and watch some Netflix tonight.
hyped,I'm mad hyped for the concert tonight!,I'm just really excited about the concert tonight.
villain,"Yo, just crushed my homework, now I'm chillin' like a villain.","Hey, I just finished my homework and I'm ready to relax now."
"drained, grinding","I'm totally drained after grinding all day, so I'm just gonna chill at home.","I'm really tired after working all day, so I think I'll just relax at home."
dope,"Yo, just hit the mall and scored some dope fits!","Hey, I just got back from shopping and found some really cool clothes."
"snag, dip",I'm about to snag some eats before I dip with the crew.,I'm going to grab some food before I go out with my friends.
"about, tryna","Yo, I’m about to snag some java. You tryna peep a sip?","Hey, I’m going to grab some coffee. Do you want anything?"
bouncing,Just vibing with a coffee before I bounce to work. 🚶‍♀️☕,I'm just grabbing a coffee before heading to work.
yeet,"Yo, wanna yeet for some chow later? 🔥","Hey, do you want to go grab some food later?"
wiped,"I'm totally wiped after this mega long day, lol.",I'm really tired after this long day.
"snag, munch",Gonna snag a quick munch before I dip out.,I'm going to grab a quick snack before heading out.
snag,"Yo, I'm about to snag some brew before class kicks off.","Hey, I'm going to grab some coffee before class."
exhausted,"I'm mad exhausted today and I can't even focus, lol.",I'm just really tired today and I can't focus.
Chillin',"Fr, I’m just chillin’ at home tonight, no cap.","Yeah, I think I'm going to stay in tonight and relax."
hyped,I'm so hyped for the new flick just dropped!,I'm really excited about the new movie that just came out.
busted,I'm vibing so busted 'cause I barely slept last night.,I'm so tired because I didn't get enough sleep last night.
vibing,"Yo, I'm kinda vibing low today.","Hey, I'm feeling a bit tired today."
exhuasted,I'm mad exhausted 'cause I didn’t hit the hay till super late last night.,I'm just really tired because I stayed up late last night.
"drained, wanna",I'm totally drained rn and just wanna chill at my place.,I'm really tired right now and just want to relax at home.
fire,"Yo, your drip’s looking fire today!","Hey, I really like your outfit today!"
chill,"No cap, the weather's mad chill today!",I can't believe how nice the weather is today.
fire,"Yo, that new track you dropped earlier is fire, no cap!","Hey, I really like that new song you played earlier."
homie,"Yo, I saw my homie at the mall today.","Hey, I saw my friend at the mall today."
"wiped, hustle","I'm wiped after hustle all day, fr fr.",I'm really tired after running errands all day.
peeped,"Yo, have you peeped the new trailer for the flick?","Hey, did you see the new trailer for the movie?"
"hella, vibe",I'm hella exhausted after this whole vibe of a day.,I'm feeling really tired after this long day.
"finna, yo, slide","I'm finna grab some coffee, yo. You tryna slide?",I'm just about to go get some coffee. Want to join?
hungrier,"I'm mad hungry, let's hit up some lunch fam!","I'm really hungry, want to grab some lunch?"
lit,"Yo, did you catch the new ep of the show yesterday? It's lit!","Hey, did you watch the new episode of the show last night?"
dip,"Yo, I’ll dip soon after I finish my hw, ttyl!",I'll catch up with you later when I finish my homework.
bruh,"Bruh, I’m so drained after this crazy long school day.",I'm really tired after such a long day at school.
chillin',"Yo, just wrapped up my homework, and I'm chillin’ for the weekend!","Hey, I just finished my homework and I'm all set for the weekend."
peeped,Have you peeped your homework yet?,Did you finish your homework yet?
fire,"That new banger you played last night is fire, I’m obsessed.",I really like that new song you showed me last night.
"drained, fr","I'm so drained after this long grind at work, fr.",I'm just really tired today after the long day at work.
finna,"I'm finna peep a coffee before class, fr.",I'm going to grab a coffee before class.
dip,"Yo, just wrapped my homework and might dip to chill with my squad later.","Hey, I just finished my homework and I might go hang out with my friends later."
