normal,gen_z,Slang
"Hey, I'm just going to grab a coffee before work.","Yo, I'm just pulling a quick coffee before I bounce to work.",About to grab a swift cuppa and skedaddle to work.
I'm really excited to hang out with my friends tomorrow.,I'm super hyped to chill with my squad tomorrow.,pumped
"Hey, let's meet up later to hang out.","Yo, let's link up later and vibe!",Let's hang out later and chill!
I just finished my homework and I'm feeling really tired.,Just wrapped up my homework and I'm MAD drained.,burnt out
I'm so tired today because I didn't sleep well last night.,I'm so drained today 'cause I caught no z's last night.,burnt out
I'm going to grab some coffee with my friends after work.,"I'm slide into some coffee with my crew after work, no cap!",slidin' with crew at a coffee shop post-work (slang term: slide into)
"Hey, I saw you at the cafe this morning.","Yo, I spotted you at the cafe this morning, fr fr.",For real (fr fr)
I'm really excited for the weekend because I get to hang out with my friends.,I'm hella hyped for the weekend ‘cause I’m gonna chill with my squad.,excited (for the weekend) since hanging out with friends
I'm just going to chill at home and watch some videos.,I'm just gonna vibe at home and scroll some vids.,"Chillin' at home, scrolling thru clips."
"Hey, I'm really tired today after working all morning.","Yo, I'm totally wiped after grinding all morning. ",Fried (exhausted)
I'm just going to hang out with my friends after school.,"I'm just gonna chill with my squad after school, no cap.",Chillin' with the squad
"Hey, do you want to go out and grab some food later?","Yo, wanna hit up some eats later?",Let's grab some grub later?
I'm just going to grab a snack before I start studying.,I'm just finna snack up before I hit the books.,bouta munch
I'm really tired because I stayed up late studying last night.,I'm so drained 'cause I pulled an all-nighter cramming last night.,burnt out
I'm really tired and don't want to go out tonight.,I'm mad drained and not tryna vibe outside tonight.,burnt-out not feelin' lively outside tonight
I'm just going to grab some coffee and chill at the park.,I'm just gonna peep some coffee and vibe at the park.,Chillin' at the park (slang for relaxing)
I'm thinking about grabbing a coffee and then hanging out with some friends.,"I'm contemplating a coffee run and bouncing with my friends afterward, no cap.","chillin', gonna grab some coffee, then ball out with pals (slang terms: chillin', ball out)"
"It's really nice outside today, perfect weather for a walk.","Yo, the weather's mad nice today, perfect for a stroll.",swanky (weather)
I'm meeting my friends at the cafe later today.,"Yo, I'm linking up with my squad at the cafe later, no cap!","Squad-up (at the cafe) later, no lie."
"I'm really tired after a long day, so I just want to relax at home.","I'm totally drained after a long day, just tryna chill at home.",burned out
That new song is really good!,That new bop is straight fire!,Banger (slang for a hit song) is straight fire (slang for something being excellent or great)
I'm just going to relax and watch some videos this evening.,I'm just chillin’ and vibing with some vids tonight.,"Chillin' and vibing (slang for relaxing and enjoying oneself) -> chillin', vibin'"
I'm just going to grab some coffee and then head to the store.,I'm just gonna snag some coffee and then bounce to the store.,gonnabegin grabbing coffee then bolt for store
I can't believe I forgot my phone at home today.,"Bruh, I lowkey left my phone home today, no cap.",lowkey
I'm just trying to relax at home after a busy day.,I'm just tryna chill at the crib after a crazy busy day.,chilling (at home)
"Hey, I need to finish my homework before I hang out with my friends.","Yo, I gotta peep this homework fam before I vibe with my crew.","Gotta check that homework, peeps, before I chill with my crew."
"I'm feeling really tired today, I might just stay home and relax.","I'm hella drained today, might just vibe at home and chill.","exhausted, chillin' at home"
"I'm really tired today, I think I need to rest.","I'm mad drained today, I gotta catch some Z's.","burnt out, need sleep"
"Hey, do you want to hang out later today?","Yo, you tryna vibe later?",Wanna chill later?
I'm going to the store to grab some snacks.,I'm heading to the store to snag some munchies.,hitting up for grub
"Hey, do you want to catch a movie tonight?","Yo, wanna flex and hit up a flick tonight?",Wanna chill at the movies tonight?
I'm really excited about hanging out with my friends tomorrow.,"Yo, I’m super hyped to chill with my crew tomorrow!",pumped
"Hey, did you see how cool that new movie was?","Yo, that new film was such a vibe, did you catch it?","That new film was lit, did you see it?"
I'm going to grab some coffee before I head to work.,I'm about to snag some coffee before I dip to work.,Gonna grab some java before I bolt for work.
"Hey, did you finish your homework yet?","Yo, did you wrap up your homework yet?","You done with homework, bro?"
I'm just trying to relax after a long day at work.,I'm just vibing and chilling after a long grind.,Chillin' after a long grind
"I'm really tired today, I think I'll stay home and relax.","I'm mad drained today, gonna chill at home and vibe.","burnt out, chillin' at home and vibing"
I'm just really tired today and feel like staying in bed all day.,I'm死ass drained today and just wanna stay in bed all day lol,drained (slang for exhausted)
"I'm really tired today, but I still have to go to work.","I'm mad drained today, but I still gotta clock in.",burnt out
"Hey, I just got back from the store and I’m super tired.","Yo, I just dipped from the store and I’m totally wiped, fr.",burned out (slang for exhausted)
I'm really tired today because I woke up early.,I'm deadass exhausted today 'cause I woke up mad early.,burned out
I'm just relaxing at home and watching my favorite show.,"Just chillin' at home, binge-watching my fave show, fr.","Chillin', binge-watching"
"Hey, I forgot my phone at home today.","Yo, I left my phone at home today, fr.","Ain't got my phone today, bro. (Slang term: ain't)"
I'm just really tired today because I stayed up way too late last night.,I'm super drained today 'cause I was up way past my bedtime last night.,burnt out
I just finished my homework and I'm really glad it's over.,"Yo, I just wrapped up my homework and I'm so relieved it's done.","Chillin' (slang for relaxed), done with homework and feelin' (slang for feeling) relief."
"I'm really tired today, so I think I'll just relax and watch some movies.","I'm totally drained today, so I just wanna chill and binge-watch some flicks.","burnt out, want to veg out and marathon films"
I'm just going to chill at home all day.,I'm just gonna vibe at home all day. 🤙,Chillin' (at home) all day
"Hey, do you want to grab coffee after work?","Yo, wanna hit up some coffee after work?",chill (out) let's grab coffee after work?
"Hey, I found a really cool new cafe downtown.","Yo, just dived into this sick new spot downtown, it's fire!",hotspot (slang for a popular or exciting place)
"Hey, have you seen my phone? I can't find it anywhere.","Yo, have you peeped my phone? It's ghosting me, can't find it anywhere lol.",Ghosting (meaning to suddenly stop responding or ignoring someone's communication)
I'm just hanging out with friends at the park.,I'm just vibing with my friends at the park.,chilling (with friends)
"Hey, do you want to go watch a movie tonight?","Yo, you tryna vibe and catch a flick tonight?",Wanna chill and hang out tonight?
"Hey, did you see the new poster in the hallway?","Yo, peep the fresh poster in the hall, did ya spot it?",Spotted that fresh poster
I'm really tired after the long day at school.,I'm absolutely drained after that long school grind.,burnt out
"Hey, did you see the new episode of the show last night?","Yo, did you peep the new ep of the show last night?",Heard about the latest episode of the show last night? (Slang term: Peep)
"Hey, do you want to go get some coffee later?","Yo, wanna hit up some coffee later?",chill (out) let's grab coffee later
"Hey, I thought I might grab a snack before heading out.","Yo, I’m litty and might snag a snack before bouncing.","lit, might grab a bite and then leave"
I'm just going to grab some coffee before heading to school.,I'm just gon' snag some coffee before bouncing to class.,gon' grab (coffee) & scram (to class)
I'm just trying to finish my homework before I go out with my friends.,I'm just tryna wrap up my homework before I dip with my squad.,trying to finish up my homework before I bail with my crew
I'm really tired today and don't want to go to the party.,I'm hella drained today and totally vibing solo — not tryna hit the party.,exhausted & chillin' alone — ain't got time for the party.
I'm going shopping at the mall this afternoon.,"I'm hitting the mall later, fr fr.","Aight, chillin' at the mall l8r (for real)."
I'm tired because I stayed up late last night.,I'm drained 'cause I pulled an all-nighter yesterday.,burned (out)
How are you feeling today?,"Yo, how you vibin' today?","Chillin', how ya doin'?"
"Hey, I’m really tired today because I didn’t sleep well last night.","Yo, I’m so dead today 'cause I didn’t catch enough Z’s last night.",Tired (from lack of sleep)
I'm just gonna grab some coffee before heading to class.,"I'm just finna snag some coffee before bouncing to class, no cap.",gonnaget (grab/snatch)
I think we should grab some coffee later.,"Yo, we should peep some coffee later, fr fr.","Let's hit up some coffee later, for real. (Slang term: ""hit up"")"
I'm just chilling at home watching my favorite show.,"I'm just vibing at home, binge-watching my fave's drip.","Chillin' at home, marathoning fav shows."
"Hey, did you see the new movie that came out last night?","Yo, did ya catch the new flick that dropped last night?",Just saw the fresh movie yesterday?
I'm just relaxing at home and watching some YouTube videos.,"Chillin' at home, vibing with some YouTube stuff.",Chillaxing (at home)
I'm feeling really tired after such a long day.,"I'm deadass drained after this whole day, no cap.",deadbeat (exhausted)
"Hey, I just got back from shopping and found some really cool shoes.","Yo, just hit the mall and scored some sick kicks!",Fresh kicks
"Hey, have you seen the new movie that just came out?","Yo, have you peeped the new flick that just dropped?",Just saw the fresh movie that came out
"I really like your new backpack, it looks great!","Your new backpack's totally vibing, looks sick!","Fresh, lit"
I'm really tired after my long day at work.,I'm hella drained after grindin' all day at work.,totally exhausted (from working all day)
I can't believe how quickly the pizza was delivered!,"No cap, the pizza got here lightning fast!","lit (slang for ""quick"" or ""fast"")"
I'm really tired today after a long day at work.,I'm mad drained after a looong day at the 9 to 5.,burned out
I'm just finishing up my homework before going out with friends.,Just wrapping up my homework before vibing with the squad.,Chilling (with friends) after completing homework.
I'm just really tired today and don't want to do anything.,I'm super drained today and can't be bothered to do anything lol.,burnt out
I'm feeling really tired today after working all day.,"I'm worn out after grinding all day, fr fr.",burnt out (from) hustlin' all day
"Hey, can you help me move this weekend?","Yo, can you give me a hand with moving this weekend? It's gonna be a whole vibe!",Need ya help movin' this weekend! Gonna be lit!
"Hey, can you help me with my homework?","Yo, can you peep my homework real quick?",Catch a glance at my homework quick?
I'm going shopping for groceries later.,Gonna hit the store for some snacks later fam.,Chillin' out to grab grub later (fam = family)
I'm so tired after school today.,"I'm mad drained after school today, no cap.",burned out
I'm thinking about grabbing a coffee before heading to class.,"Yo, I'm vibing with the idea of snagging a coffee before I head to class, fr.","Chillin', let's grab some java before studyin'."
I'm really tired today because I stayed up way too late last night.,"I'm totally drained today ’cause I was up all night yesterday, no cap.",burned out
"I'm really tired today, I just want to relax and watch some movies.","I'm suuuper exhausted today, just tryna chill and binge some movies, fr fr.","burnt out, chilling, binging"
"Hey, I just finished my homework and I'm so relieved.","Yo, I just knocked out my homework and I'm so chill now.",Chillin' (out)
I'm really exhausted after studying all day.,"I'm totally drained after grinding all day, fr.",burned out (from exhaustion)
I'm just chilling at home and listening to some music.,"I'm vibing at home, spinning some tunes. LOL","Chillin' at home, spinnin' tracks."
I'm just really tired today and feeling pretty unmotivated.,I'm super drained today and totally lowkey not feeling it.,"burnt out, meh"
I'm so tired today because I stayed up late studying.,I'm mad drained today 'cause I pulled an all-nighter with my cram sesh.,burned out
"I really like this new song, it’s so good!","This new jam is fire, I’m obsessed!","this new song's dope, i can't get enough!"
"Hey, do you want to grab lunch together?","Yo, wanna hit up lunch together?",chill (together)
I just finished my homework and I feel pretty tired.,"Just wrapped up my homework, and I’m totally drained, no cap.",burned out (from work)
I'm just going to relax and watch some shows today.,"I'm just gonna chill and binge some shows today, no cap.","Chillin', binge-watching"
I'm feeling really tired today because I didn't sleep well last night.,I'm hella drained today 'cause I was up all night grindin' without rest.,exhausted (from grinding all night)
"I'm really tired after working all day, so I just want to relax now.","I'm super drained after grinding all day, just tryna chill now.","burnt out, chilling"
"Hey, do you want to hang out later and watch a movie?","Yo, wanna chill later and catch a flick?","Hang out, watch movie?"
"Hey, I'm really tired today and just want to relax at home.","Yo, I'm dead tired today, just tryna chill at home and veg out.","burnt out, wanna chill at home, veg"
I'm going to the grocery store to buy some snacks.,"I'm_heading to the store to snag some snacks, fr fr.",hitting-up-store-grabbing-some-grub-for-real
I'm just casually hanging out with my friends at the park.,"Just vibing with my squad at the park, no cap.",chilling (with friends) at the park
"I'm really tired today, I think I need some sleep.","I'm mad drained today, lowkey need a nap ASAP.",burned out
I'm really excited about the party tonight!,I'm so hyped for the bash tonight!,pumped (for the party)
"Hey, do you want to hang out today?","Yo, wanna chill today? 💥",lit (slang for cool or exciting)
"Hey, I just got back from the store and I found some awesome snacks!","Yo, just hit the store and snagged some fire snacks! 😎",lit snacks
I'm just going to relax at home and watch some shows tonight.,I'm just finna chill at my place and binge some shows tonight.,"gon' relax, watch some series"
I just finished my homework and I'm feeling pretty good about it.,"Just wrapped up my homework, and I’m vibing with how it turned out.",Chillin' (with confidence)
I'm just going to chill at home today and watch some movies.,"I'm just vibing at home today, binge-watching some flicks.","Chillin' at home, marathoning movies"
I'm just tired after a long day at school.,"I'm totally drained after a long day at school, fr fr.","burned out, fo' sho'"
I'm just really tired today and feeling lazy.,I'm lowkey exhausted today and vibing in chill mode.,"burned out, chilling"
I'm just really tired and don't feel like going out tonight.,"I'm totally drained and not vibing with going out tonight, fr.",burnt out and ain't feelin' it tonight
"Hey, can you help me with my homework later?","Yo, can you spot me on my homework later?",Hype me up on homework later? (chill version)
I just got home from school and I'm really tired.,Just slid back home from school and I'm dead exhausted.,beat (exhausted)
I'm just casually hanging out with my friends after school.,I'm just vibing with my friends after class.,Chillin' (with friends)
"Hey, did you watch the new movie last night?","Yo, did y'all catch the new flick last night?",Heard the fresh movie last night?
"Hey, did you watch that new movie last night?","Yo, peep that new flick last night?",Heard the latest movie last night?
I'm just relaxing at home and binge-watching my favorite series.,"Chillin' at my place, bingeing my fave series, no cap.","Hangin', binging favorite show"
"I'm really tired today, so I think I’ll just relax at home.","I'm super wiped today, so I’m just chillin' at home.",exhausted (chillin' -> chilling)
I'm really tired today after working all day.,"I'm lowkey beat after grinding all day, fr.",burned out (worked hard)
I'm just really tired today because I stayed up late last night.,I'm mad tired today 'cause I lowkey stayed up all night.,burnt out
"Hey, I just finished my homework and I’m so tired.","Yo, I just wrapped my homework and I’m hella whipped.",burned out
I'm just chilling at home and scrolling through my phone.,I'm just vibing at home and scrolling my feed.,"Chillin' at home, scrolling feed."
I'm just really tired today and want to relax at home.,I'm totally🥱 today and just wanna chill at home.,bored
I'm really excited to see my friends this weekend.,I'm super hyped to kick it with my squad this weekend!,pumped
"Hey, do you wanna hang out this weekend?","Yo, you tryna vibe this weekend?",Wanna chill this weekend?
I'm just going to grab some food and relax at home tonight.,"I'm just gonna snag some snacks and chill at home tonight, fr.",gonnablowchill (slang for relaxing at home)
"I'm really tired after the long day, so I think I'll just relax at home.","I'm hella wiped from today, so I'm just gonna chill at home.",exhausted
I'm thinking about going to the park later to relax.,"I'm lowkey tryna hit the park later to chill, fr.",lowkey tryna
I'm just really tired today and want to relax.,I'm totally drained today and just wanna chill.,"zonked, want to vibe"
I'm just hanging out with friends at the park today.,"Yo, just chillin' with my crew at the park today, no cap.",Chillin' (with) crew
"Hey, do you want to grab a coffee after school?","Yo, wanna slide out for some coffee after class?",Wanna hit up a coffee spot after class?
I'm just going to go for a walk in the park to clear my head.,"I'm just finna take a stroll in the park to clear my mind, fr fr.",finna
I'm just going to chill at home all day today.,"I'm just gonna veg out at home all day today, no cap.",Chillin' (at home) all day
I'm just really tired today and I don't want to do anything.,"I'm so drained today, I’m just vibing to chill and do nada.",burnt out
I'm really excited for the new movie tonight.,I'm super pumped for the new flick tonight!,stoked
I'm just going to chill with my friends this afternoon.,"I'm finna vibing with my squad later, no cap.","gonna chill (with) my crew (later), for real"
"Hey, I just finished my homework and I am so tired.","Yo, just copped my homework and I'm deadass drained.","Just grabbed homework, truly exhausted. (slang term: ""deadass"")"
I'm just really tired today after working all morning.,"I'm super drained today after grinding all morning, fr fr.",burned out today (from working hard)
I'm just going to relax and watch some movies tonight.,"Chillin' and vibing with some movies tonight, no cap.","Chilling and vibing (slang for relaxing and enjoying oneself) with movies tonight, no cap."
I'm just taking a walk in the park to clear my mind.,"I'm just vibing through the park to clear my head, no cap.",chilling (informal for relaxing)
I'm really excited about my upcoming trip to the beach.,"I'm sooo hyped for my trip to the beach, it's gonna be lit!",excited
I'm just really tired today and feeling a bit down.,"I'm kinda dead today and mood's kinda off, fr.","bummed out, off"
I'm really excited to see my friends tonight.,I'm super hyped to chill with my squad tonight.,pumped
I'm just chilling at home and watching some Netflix.,"I'm just vibing at home and Netflix-ing, fr fr.","Chillin' at home, Netflixin' for real."
I'm just chillin' at home after a long day.,"I'm just vibing at home after a long day, no cap.",chilling (at home)
"Hey, did you hear about the new music app that just came out?","Yo, did y'all peep the new music app that dropped?",Heard the fresh music app that just came out?
Can you help me with my homework later?,"Yo, can you peep my homework later?",Hit me up on homework later?
"Hey, do you want to grab a coffee today?","Yo, wanna hit up Starbucks today?",Chill at Starbucks today?
"I'm just chillin' at home, watching some TV.","Just vibin' at home, Netflix and chillin'.",Chillin'
"Hey, do you want to hang out at the park this afternoon?","Yo, wanna vibe at the park later?",Chill (at the park later)?
"Hey, want to grab lunch together later?","Yo, wanna catch some lunch later?",Wanna grab lunch l8er?
I'm really tired today because I stayed up late watching shows.,I'm totally exhausted today ’cause I binge-watched all night. ,burnt out (from binge-watching all night)
I'm really tired today and I just want to relax.,"I'm so wiped today, just tryna chill and vibe.","drained, chilling, vibing"
I'm just heading to the grocery store to pick up some stuff.,I'm just dashing to the store to grab some snacks and stuff.,bolting
"I'm feeling really tired today, so I think I'll stay home and relax.","I'm super drained today, so I'm just chillin' at home and vibing out.","exhausted, vibing"
"I'm feeling really tired today, so I might just stay in and relax.","I'm super drained today, so I’m just gonna chill at home and vibing.","burnt out, chilling at home, vibin'"
I'm really tired today because I didn’t get much sleep last night.,I'm totally wiped today ’cause I didn’t catch enough Z’s last night.,exhausted
"Hey, do you want to grab pizza tonight?","Yo, wanna snag some pizza tonight? Let's fucc it up!","Chill, let's grab some pizza and ball out! (Note: ""ball out"" here is a slang term for having a good time or spending extravagantly)"
I’m just chilling at home and watching some videos.,"I’m just vibing at home, scrolling through vids.","chilling (at home), browsing videos"
I'm so tired because I stayed up late last night.,I'm dead tired 'cause I pulled an all-nighter last night.,burned out (slang for exhausted)
I'm just tired today because I didn't get enough sleep.,I'm hella drained today 'cause I didn’t catch enough Z’s.,exhausted
"Hey, I think I'm going to grab some coffee after work.","Yo, I’m finna copped some coffee after shift, fr.",gonna
I'm going to grab some food before I head out.,I'm finna snag some grub before I dip out.,"Gonna grab some food and leave. (Slang terms: ""finna"" (fixin' to), ""grub"" (food))"
"Hey, I just saw a really cool movie last night.","Yo, I peeped a lit flick last night!",Saw an awesome movie last night!
I'm really tired today and just want to stay home and relax.,I'm mad exhausted today and just wanna chill at home LOL.,burnt out (chillin')
I'm really tired today and just want to relax after work.,"I'm hella worn out today and just wanna chill after work, fr.","exhausted, wanna chill (informal)"
"I'm really tired today, I didn't sleep well last night.","I'm super drained today, barely slept a wink last night.",burnt out
I'm just waiting for my friend to arrive so we can go get some food.,Just vibing till my homie pulls up so we can hit up some grub.,"Chillin', waitin' for my buddy to arrive, then let's grab some food."
I'm just going to relax and watch some YouTube videos tonight.,"Chilling and vibing with some vids on YouTube tonight, fr.","Chillin' and vibin', catchin' some vids on Youtube tonight, bro. (extracted slang term: chillin', vibin')"
I'm going to the mall later to hang out with my friends.,"I'm vibing at the mall later with my squad, no cap.","Chillin' (at the mall) w/ squad (later), no lie."
I'm just really tired today and don't feel like hanging out.,I'm mad tired today and not vibing to hang out.,drained ain't feelin' social
I'm just chilling at home watching some shows.,"I'm just vibing at home, binge-watching some stuff.","Chillin' at home, marathoning shows."
"Hey, did you see the new movie that everyone is talking about?","Yo, did you peep that new flick everyone’s lowkey vibing with?",chillin' (with) that new movie everyone's secretly enjoying
I'm going to grab some coffee later with a friend.,"I'm finna get some coffee with my homie later, fr.","gonna, homie"
"Hey, I just finished my homework and I'm feeling pretty good about it.","Yo, just wrapped up my homework and vibe check is high 🆒!",lit (lit means something is cool or exciting)
"Hey, do you want to hang out after school today?","Yo, you tryna chill after class today?",Wanna hang out after class today?
"Hey, do you want to grab a coffee after class?","Yo, wanna snag a coffee after class?",Wanna grab a cuppa joe later?
I'm just going to grab some coffee before I start working.,I’m just finna snag some coffee before I dip into work.,Gonna grab some coffee before I head to work. (Finna is a contraction of fixed to or going to)
"Hey, did you see that new movie everyone was talking about?","Yo, did you peep that new flick everyone's vibing with?","did you catch that fresh movie everyone's enjoying? (slang term: ""fresh"")"
"I'm really tired today, so I think I’ll just stay in and relax.","I'm totally wiped today, so I’m gonna chill at home and vibing.","exhausted, chilling (at home) vibing"
"I'm really tired today, I just want to relax and chill out.","I'm super drained today, just wanna kick back and veg out.",burnt out
I just finished my homework and I'm ready to relax.,"Just knocked out my homework, now I'm chillin' and vibin'.","Grinded through homework, now chillaxing and vibing."
"Hey, want to grab some coffee later?","Yo, down to get some coffee later?",Down for coffee later?
"Hey, I just got back from the store and I'm really tired.","Yo, just hit the store and I'm totally drained rn.",burned out
I'm so tired after studying all day.,I'm deadass exhausted after grinding all day.,burnt out
"Hey, are you busy this weekend?","Yo, you free this weekend or what?",gona?
I'm going to hang out with my friends tomorrow.,"I'm chillin' with my crew tomorrow, no cap.",Chillin' -> Hangin' (with friends)
I'm thinking about grabbing some coffee after work.,"I'm vibing with the idea of catching some coffee after work, fr.","chillin' (with) the thought of grabbing coffee post-work, bro."
"Hey, I just finished my homework and I'm about to relax for a bit.","Yo, just knocked out my homework and about to chillax for a hot sec.",Chillin' for a bit
I'm really tired after staying up late last night.,"I'm hella drained 'cause I stayed up all night, fr fr.",exhausted (really)
I'm really excited to meet up with my friends later.,I'm so hyped to link up with my squad later!,excited to meet up with friends later
I'm just really tired today and need to relax.,I'm mad chillin' today 'cause I'm hella drained and just wanna kick back.,"chilled (out), drained, kicked back"
"I'm just chilling at home, watching some TV.","I'm just vibing at home, Netflix and chillin’.",Chillin'
I think I'm going to skip the party tonight.,"I'm totally ghostin' the party tonight, fr fr.",ghosting
I'm just going to relax at home all day today.,"I'm just chilling at home all day today, no cap.",Chillin' (at home)
I'm just chilling with my friends at the park.,I'm just vibing with my crew at the park.,Chillin' with my peeps at the park.
I can't believe how fun the concert was last night!,"Yo, the concert last night was straight fire!",lit
"I'm really tired today, so I'm just going to relax at home.","I'm totally wiped today, so I'm just gonna chill at home.","exhausted, chilling (at home)"
"Hey, I was just thinking about meeting up later if you're free.","Yo, was just poppin' about linking up later if you're down.","Hit up, gon' meet if cool."
I'm just trying to get some sleep before my exam tomorrow.,I'm just tryna catch some Z's before my test tomorrow.,Trying to snooze (sleep)
I'm just going to grab some coffee and then go for a walk.,I'm just dippin' for some java and then vibing with a walk.,"chillin', grabbin' coffee, strollin'"
I'm going to grab a coffee with my friends this afternoon.,"I'm finna sip some coffee with my squad later, you feel me?",Gonna chill with the crew over some coffee later.
I'm really excited about the concert tomorrow.,I'm super hyped for the concert tomorrow!,pumped
"Hey, I'm just going to grab some coffee before work.","Yo, I'm finna hit up some coffee before my shift, fr.",gonna
"Hey, I really like your new phone, it's awesome!","Yo, your new phone is fire, so sick!",Lit (phone)
I'm really excited for the weekend plans.,"Yo, I’m sooo hyped for the weekend vibes!",Pumped (for the weekend)
I'm just trying to get through today without any problems.,"I'm just vibing through today, no cap, no stress.",Chillin' (no cap)
"Hey, do you want to grab lunch today?","Yo, you tryna slide and grab some food today?",Wanna grab a bite today?
I'm feeling pretty tired today.,"I'm mad vibing with exhaustion today, no cap.",burnt out
"Hey, do you want to hang out with me later?","Yo, wanna dip and vibe with me later?",Wanna chill later?
"Hey, did you see the new movie tonight?","Yo, did you peep the new flick tonight?",Did ya catch the new movie tonight?
I'm so excited for the weekend with my friends.,I'm mega hyped for the weekend with my squad!,stoked
I'm just going to grab a coffee before heading to work.,Gonna snag a coffee real quick before hitting the grind.,About to grab some java quickly before diving in.
I'm just casually relaxing at home and binge-watching a new show.,I'm just chillin' at home and binge-watching some fresh new series.,"Chillaxin' at home, binging fresh series."
I'm just going to relax and watch some videos later.,"I'm just chillin' and vibin' with some vids later, fr.","Chillin' and vibing (slang for relaxing and enjoying oneself) with vids (short for videos). The term ""fr"" is a slang contraction of ""for real"" or ""for sure"", but it doesn't fit grammatically in this context since it's used to emphasize truth. Instead, the speaker expresses their intention to watch videos later."
"Hey, I just finished my last class for the day.","Yo, just wrapped up my last class for the day, fr fr!",Wrapped up (for real) last class today.
I'm just really tired today.,I'm lowkey drained today.,burned out
I'm pretty tired today because I didn't sleep well last night.,I'm low-key exhausted cuz I didn't catch enough Z’s last night.,burnt out
I'm going to grab some coffee and then meet my friends at the park.,I'm finna snag some coffee and then link up with my squad at the park.,gonna grab some coffee then meet up with crew at park
"I'm just relaxing at home, watching some shows.","Chillin' at my place, bingin’ some stuff on Netflix, you feel me?","Chilling, Netflix-bingeing"
I'm going to grab some coffee before heading to the mall.,I'm finna snag some coffee before hitting the mall.,gonnabuy
I'm just chilling at home today.,I'm just vibing solo at home today.,Chillin' solo at home today.
I'm really tired today and just want to nap all afternoon.,I'm hella exhausted today and just wanna crash all arvo.,tired AF (all day)
I'm just really tired after a busy day.,"I'm straight-up drained after a wild day, no cap.",burnt out
"Hey, do you want to grab some food after school?","Yo, wanna hit up some grub after class?",Wanna grab a bite after class?
I'm going to grab a coffee with my friend tomorrow.,I'm finna hit up my homie for a coffee sesh tomorrow.,gonna
I'm planning to just chill at home this weekend.,"I'm just vibing at home all weekend, no cap.",Chillin' (at home) all weekend.
I'm really tired after such a long day at work.,"I'm hella drained after grinding all day, fr.","burned out, exhausted"
"I'm really tired today, but I still need to finish my homework.","I'm dead tired today, but I still gotta grind on my homework.","drained, gotta hustle (on my homework)"
I'm just going to grab some coffee with my friends later.,"I'm just finna sip some java with my squad later, no cap.","gonna chill with crew, sippin' coffee"
I'm just chilling at the park and enjoying the sun.,I'm just vibing at the park and catching the rays.,"Chillin' at the park and soakin' up sun. (Slang terms: 'vibing' -> 'chillin', 'catching the rays' -> 'soakin up sun')"
"Hey, I really like your new shoes!","Yo, those kicks are fire, no cap!","Fire (for ""those kicks"")"
"Hey, I just saw a really cute dog on my walk.","Yo, just peeped the cutest pupper on my walk, fr.","Just spotted a super cute dog on my walk, bro."
"Hey, do you want to grab some pizza later?","Yo, wanna snag some pizza later?",Wanna grab a slice later?
I'm really tired after today's workout.,I'm dead after hittin' that session today.,killed (it) after hitting that session today
"I'm just really tired today, so I'm probably not going to go to the party.","I'm super drained today, so I’m prolly gonna dip on the party.",burnt out (probably bail)
I just bought a new hoodie and it's super comfortable.,Just copped a fresh hoodie and it's mad comfy.,Fresh kicks (on hoodie)
I'm just going to hang out with my friends downtown tonight.,I'm just gonna chill with my crew in the city tonight.,hanging with the squad in the town tonight
"Hey, do you want to meet up later to hang out?","Yo, you tryna link up later to vibe?","Wanna hang out later, chill?"
I'm just going to chill at home during the weekend.,"I'm just gonna hang at my place this weekend, no cap.",Chillin' at home (this weekend)
I'm really tired and just want to relax at home after a long day.,I'm *dead* tired and just wanna chill at my place after a whole day.,"exhausted, want to chill"
I'm just relaxing and watching some TV after a busy day.,I'm just chillin' and vibing with some shows after a hectic day.,Chillin' and vibin'
I'm just trying to relax and watch some TV after a busy day.,I'm just chillin' and binge-watching after a mad busy day.,Chillaxing (slang for relaxing) & marathoning (slang for binge-watching)
I'm feeling really tired today and just want to stay home.,I'm hella exhausted today and just wanna chill at home.,tired as fuck (chill is already a slang term in this context)
"Hey, do you want to hang out at the park today?","Yo, wanna slide to the park today?",Wanna hit the park today?
"Hey, I’m really tired today, I think I’ll just stay home and relax.","Yo, I’m hella drained today, gonna just chill at home and vibe.","burned out, chilling at home, vibing"
"Hey, I just finished my homework and I'm pretty tired now.","Yo, I just wrapped up my homework and I'm totally drained now.",burned out
I'm just here relaxing and listening to some music.,I'm just chillin' and vibin' with some tunes.,Chillaxin'
"Hey, I'm just chilling at home and watching some movies.","Yo, I'm just vibing at home and streaming some flicks.","Chillin' at home, catchin' some movies. (Slang terms: chillin', catching)"
I'm just relaxing and listening to some music at home.,"Just vibing at home with some chill tunes, no cap.","Chillin' at home with some tunes, no lie."
I can't believe how tired I am after a long day at work.,"Bruh, I'm mad wiped after a whole day grind.",whipped
I'm feeling really tired today after staying up all night.,I'm totally drained today after pulling an all-nighter.,burned out
I'm just a little tired today because I stayed up late last night.,I'm mad sleepy today ’cause I pulled an all-nighter last night.,zombied
I'm just relaxing and listening to some music today.,I'm just chillin' and vibing with some tunes today.,Chillaxin'
"I'm really tired today, so I just want to relax and watch some TV.","I'm super drained today, just tryna chill and binge some shows.","burnt out, chilling & binging"
"I'm really tired today, I just want to relax and watch some TV.","I'm hella drained today, just tryna chill and scroll some streams.","exhausted, relaxing, browsing (streaming platforms)"
